individual,color
Marn_AMB5.26,#00FF00
Marn_AMB5.41,#00FF00
Marn_BC49_2017,#00FF00
Marn_BE51_2017,#00FF00
Marn_RMR156,#00FF00
Mber_JMR045,#BED2FF
Mber_Joerg73,#BED2FF
Mber_KIR06.30_S12,#BED2FF
Mber_KIR06.34,#BED2FF
Mber_RMR94,#BED2FF
Mbon_301y03_ata_S12,#E6E600
Mbon_3y11_hara_S12,#E6E600
Mbon_55y04_bibo_S12,#E6E600
Mbon_f08y13_zana,#E6E600
Mbon_f09y13_zana,#E6E600
Mbon_f13y15_sely,#E6E600
Mbon_f17y13_zana,#E6E600
Mbor_RMR115,#FFFF73
Mbor_RMR116,#FFFF73
Mbor_RMR124,#FFFF73
Mbor_RMR129,#FFFF73
Mdan_02y08_befa_S12,#001DE6
Mdan_42y04_koa_S12,#001DE6
Mdan_44y04_koa_S12,#001DE6
Mdan_83y04_injo_S12,#001DE6
Mdan_90y04_anji_S12,#001DE6
Mgan_00016A8577,#AAFF00
Mgan_00016A875E,#AAFF00
Mgan_00072854DC,#AAFF00
Mgan_0007289B19,#AAFF00
Mgan_00074C439B,#AAFF00
Mger_f12y18_fina,#FFBEE8
Mger_f51y18_sako,#FFBEE8
Mger_f55y18_bao,#FFBEE8
Mger_m10y18_dobo,#FFBEE8
Mger_m17y18_fina,#FFBEE8
Mger_m44y18_anja,#FFBEE8
Mgri_065998ED_S1234,#0070FF
Mgri_BEZ7.22,#0070FF
Mgri_BOA8.5,#0070FF
Mgri_BOA8.8,#0070FF
Mgri_GNISA8.5,#0070FF
Mgri_GNISA8.7,#0070FF
Mgri_JMR009,#0070FF
Mgri_LAH8.15,#0070FF
Mgri_LAH8.18,#0070FF
Mgri_NDOLO8.1,#0070FF
Mgri_NDOLO8.3,#0070FF
Mgri_SANDRY8.12,#0070FF
Mgri_SANDRY8.15_S12,#0070FF
Mgri_TAK7.9,#0070FF
Mgri_VOLO8.01_S12,#0070FF
Mjol_LAKI5.20_S12,#D1FF73
Mjol_LAKI5.24,#D1FF73
Mjon_A12,#FF7F7F
Mjon_A23,#FF7F7F
Mjon_A24,#FF7F7F
Mjon_B13,#FF7F7F
Mjon_B24,#FF7F7F
Mjon_B34,#FF7F7F
Mjon_BD1,#FF7F7F
Mjon_MBB019,#FF7F7F
Mjon_MBB020,#FF7F7F
Mjon_MBB027,#FF7F7F
Mleh_01y00_man_S12,#73DFFF
Mleh_02y00_man_S12,#73DFFF
Mleh_ANJZ11,#73DFFF
Mleh_B12,#73DFFF
Mleh_B14,#73DFFF
Mleh_BC3,#73DFFF
Mleh_C24,#73DFFF
Mleh_JMR001_S12,#73DFFF
Mleh_JMR002_S12,#73DFFF
Mleh_MBB038,#73DFFF
Mleh_MBB045,#73DFFF
Mleh_ODY6.9,#73DFFF
Mleh_Oskar_S12,#73DFFF
Mleh_SIB7.1,#73DFFF
Mleh_TAD4.32,#73DFFF
Mleh_Viola_S12,#73DFFF
Mmac_01y06_hely_S12,#00FF00
Mmac_04y06_hely_S12,#00FF00
Mmac_04y13_hely_S12,#00FF00
Mmac_06y08_hely_S12,#00FF00
Mmac_07y08_hely_S12,#00FF00
Mmac_08y08_hely_S12,#00FF00
Mmam_02y02_oka_S12,#DF73FF
Mmam_05y02_oka_S12,#DF73FF
Mmam_11y02_oka_S12,#DF73FF
Mmam_12y02_oka_S12,#DF73FF
Mmam_I01_2015,#DF73FF
Mmam_m16y16_lok,#DF73FF
Mmam_m22y16_lok,#DF73FF
Mman_RMR215,#AAFF00
Mman_RMR216,#AAFF00
Mman_RMR217,#AAFF00
Mman_RMR219,#AAFF00
Mman_RMR220,#AAFF00
Mmarg_TAF06.1,#38A800
Mmarg_TAF06.5,#38A800
Mmarg_m12y16_mibe,#38A800
Mmaro_RMR131,#A80000
Mmit_07y06_habe_S12,#73DFFF
Mmit_10y07_hely_S12,#73DFFF
Mmit_MBB005,#73DFFF
Mmit_MBB012,#73DFFF
Mmit_PBZT115,#73DFFF
Mmit_RMR186,#73DFFF
Mmit_RMR187,#73DFFF
Mmit_m05y06_hely,#73DFFF
Mmur_71y04_tsin_S12,#E64C00
Mmur_AB01,#E64C00
Mmur_Gina_S12,#AAFF00
Mmur_KIR06.31,#E64C00
Mmur_KIR06.32,#E64C00
Mmur_MOR106,#E64C00
Mmur_Micro24,#E64C00
Mmur_RMR19,#E64C00
Mmur_RMR27,#E64C00
Mmur_Rhodos_S12,#AAFF00
Mmur_f102y18_mari,#E64C00
Mmur_f142y17_jabe,#E64C00
Mmur_f21y15_bomb,#E64C00
Mmur_f56y13_ampi_S12,#E64C00
Mmur_m209y18_mari,#E64C00
Mmur_m53y11_ampi_S12,#E64C00
Mmyo_01y13_bom_S12,#FFAA00
Mmyo_03y06_hatsi_S12,#FFAA00
Mmyo_17y03_madi_S12,#FFAA00
Mmyo_BEMA7.17_S12,#FFAA00
Mmyo_JMR027,#FFAA00
Mmyo_JMR072,#FFAA00
Mmyo_RMR31,#FFAA00
Mmyo_RMR70,#FFAA00
Mrav_10y03_anko_S12,#00A9E6
Mrav_10y13_jbb_S12,#00A9E6
Mrav_13y03_anko_S12,#00A9E6
Mrav_166y03_bero,#00A9E6
Mrav_f325y18_mari,#00A9E6
Mrav_m117y17_jabe,#00A9E6
Mrav_m125y14_mari_S12,#00A9E6
Mrav_m139y17_jabe,#00A9E6
Mrav_m178y14_mari_S12,#00A9E6
Mrav_m266y18_mari,#00A9E6
Mruf_CAISOM101,#00FF00
Mruf_E250M100,#00FF00
Mruf_PBZT116,#00FF00
Mruf_PBZT122,#00FF00
Mruf_RMR142,#00FF00
Mruf_TRA8.83,#00FF00
Mruf_TRA8.85,#00FF00
Msam_02y05_mamy_S12,#FFAA00
Msam_06y02_mahi_S12,#FFAA00
Msam_06y05_mamy_S12,#FFAA00
Msam_07y02_mahi_S12,#FFAA00
Msam_15y02_mahi_S12,#FFAA00
Msim_A032014,#FFFF73
Msim_A082014,#FFFF73
Msim_BET87,#FFFF73
Msim_PBZT117,#FFFF73
Msim_POLO522,#FFFF73
Msim_ZAH2,#FFFF73
Msim_ZAH5,#FFFF73
Msp1_A100_2014,#FF0000
Msp1_A17_2014,#FF0000
Msp1_A45_2014,#FF0000
Msp1_A61_2014,#FF0000
Msp1_AMBH_D7_2013,#FF0000
Msp1_ANALV_A19_2013,#FF0000
Msp1_B14_2014,#FF0000
Msp1_B77_2014,#FF0000
