Code,Symbol,Inlet,Taxon
#88CCEE,9,,M. rufus
#117733,14,,M. berthae
#332288,11,,M. myoxinus
#999933,28,,M. tanosi
#CC6677,9,,M. mamiratra
#882255,13,,M. lehilahytsara
#AA4499,13,,M. margotmarshae
#DDDDDD,14,,M. sambiranensis
#88CCEE,28,,M. arnholdi
#117733,13,,M. griseorufus
#332288,15,,M. tavaratra
#999933,11,,M. jonahi
#CC6677,5,,M. simmonsi
#882255,5,,M. ravelobensis
#AA4499,1,,M. gerpi
#DDDDDD,15,,M. macarthurii
#88CCEE,1,,M. danfossi
#CC6677,15,,M. murinus (north)
#DDDDDD,11,,M. jollyae
#88CCEE,28,28,M. sp1
#882255,13,13,M. mittermeieri
#DDDDDD,11,11,M. marohita
#CC6677,5,5,M. boraha
#CC6677,15,28,M. manitatra
#CC6677,15,13,M. ganzhorni
#CC6677,15,15,M. murinus (central)
#882255,5,5,M. bongolavensis
